Accession,Release_Date,Species,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MT786824,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NC,NC,Homo sapiens,,2020-04-27
MT786825,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NC,NC,Homo sapiens,,2020-04-27
MT786826,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NC,NC,Homo sapiens,,2020-04-28
MT786827,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NC,NC,Homo sapiens,,2020-04-28
MT786828,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NC,NC,Homo sapiens,,2020-04-30
MT786829,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NC,NC,Homo sapiens,,2020-04-30
MT786830,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NM,NM,Homo sapiens,,2020-04-30
MT786831,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NM,NM,Homo sapiens,,2020-04-30
MT786832,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NM,NM,Homo sapiens,,2020-04-30
MT786833,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NM,NM,Homo sapiens,,2020-04-30
MT786834,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NM,NM,Homo sapiens,,2020-04-30
MT786835,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NM,NM,Homo sapiens,,2020-04-30
MT786836,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: NM,NM,Homo sapiens,,2020-05-01
MT786837,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: TX,TX,Homo sapiens,,2020-04-10
MT786838,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: TX,TX,Homo sapiens,,2020-04-10
MT786839,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: TX,TX,Homo sapiens,,2020-04-10
MT786840,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: TX,TX,Homo sapiens,,2020-04-10
MT786842,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: TX,TX,Homo sapiens,,2020-04-27
MT786844,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: TX,TX,Homo sapiens,,2020-04-29
MT786845,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: TX,TX,Homo sapiens,,2020-04-29
MT786846,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: TX,TX,Homo sapiens,,2020-04-30
MT786847,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: TX,TX,Homo sapiens,,2020-04-30
MT786848,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: WI,WI,Homo sapiens,,2020-04-30
MT786849,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: WI,WI,Homo sapiens,,2020-04-30
MT786850,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29768,USA: WI,WI,Homo sapiens,,2020-04-30
MT786851,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: WI,WI,Homo sapiens,,2020-04-30
MT786859,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT786865,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT786868,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT786941,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,"USA: South Carolina, Ridgeway",SC,Homo sapiens,oronasopharynx,2020-05-06
MT786943,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,"USA: South Carolina, Ridgeway",SC,Homo sapiens,oronasopharynx,2020-05-18
MT786946,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,"USA: South Carolina, Ridgeway",SC,Homo sapiens,oronasopharynx,2020-05-29
MT787473,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787486,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787500,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787503,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787553,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787564,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787577,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787646,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787647,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787648,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787650,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787742,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787745,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787746,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT787749,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT789688,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT789690,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT789712,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,Bahrain,,Homo sapiens,,2020-06-23
MT790522,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,Zambia,,Homo sapiens,,2020-03-16
MT791312,2020-07-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: Wyoming,WY,Homo sapiens,,2020-04-02
MT781414,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Thailand,,Homo sapiens,oronasopharynx,2020-03-03
MT781415,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,Thailand,,Homo sapiens,oronasopharynx,2020-02-25
MT782348,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA,,Homo sapiens,,2020-05-13
MT782361,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA,,Homo sapiens,,2020-05-14
MT782364,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA,,Homo sapiens,,2020-05-14
MT782369,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,USA,,Homo sapiens,,2020-04-22
MT782370,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,USA,,Homo sapiens,,2020-04-23
MT782371,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA,,Homo sapiens,,2020-04-23
MT782377,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA,,Homo sapiens,,2020-04-23
MT782378,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA,,Homo sapiens,,2020-04-23
MT782381,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA,,Homo sapiens,,2020-04-22
MT782382,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA,,Homo sapiens,,2020-04-22
MT786327,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT786329,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT786331,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT786334,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT786335,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT786336,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT786337,2020-07-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Turkey,,Homo sapiens,oronasopharynx,2020-07-15
MT775826,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,Poland,,Homo sapiens,oronasopharynx,2020-04-02
MT775827,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,Poland,,Homo sapiens,oronasopharynx,2020-03-28
MT775828,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,Poland,,Homo sapiens,oronasopharynx,2020-04-01
MT775829,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,Poland,,Homo sapiens,oronasopharynx,2020-04-02
MT775830,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Poland,,Homo sapiens,oronasopharynx,2020-04-13
MT775831,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,Poland,,Homo sapiens,,2020-04-16
MT775832,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,Poland,,Homo sapiens,oronasopharynx,2020-04-17
MT775833,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Poland,,Homo sapiens,oronasopharynx,2020-04-18
MT776401,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-06
MT776402,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-07
MT776403,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-16
MT776404,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-23
MT776405,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-25
MT776406,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-25
MT776407,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-25
MT776408,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-26
MT776409,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-26
MT776410,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-29
MT776411,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-30
MT776412,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-30
MT776413,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-30
MT776414,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-03-31
MT776415,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-02
MT776416,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-03
MT776417,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-04
MT776418,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-04
MT776419,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-06
MT776420,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-07
MT776421,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-07
MT776422,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29570,USA,,Homo sapiens,oronasopharynx,2020-04-09
MT776423,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-09
MT776424,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-08
MT776425,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-08
MT776426,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,,Homo sapiens,oronasopharynx,2020-04-11
MT776427,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29570,USA,,Homo sapiens,oronasopharynx,2020-04-16
MT776904,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,Egypt,,Homo sapiens,oronasopharynx,2020-06-01
MT777677,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,France,,Homo sapiens,oronasopharynx,2020-05-01
MT778827,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,"USA: South Carolina, Richland",SC,Homo sapiens,oronasopharynx,2020-04-01
MT778828,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,"USA: South Carolina, Fairfield",SC,Homo sapiens,oronasopharynx,2020-05-04
MT778829,2020-07-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,"USA: South Carolina, Fairfield",SC,Homo sapiens,oronasopharynx,2020-05-04
MT772210,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Himatnagar,,Homo sapiens,,2020-06-14
MT772215,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Choryasi,,Homo sapiens,,2020-06-13
MT772237,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Choryasi,,Homo sapiens,,2020-06-13
MT772240,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Surat,,Homo sapiens,,2020-06-13
MT772252,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Surat,,Homo sapiens,,2020-06-13
MT772253,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29791,India: Surat,,Homo sapiens,,2020-06-13
MT772256,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Surat,,Homo sapiens,,2020-06-13
MT772271,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Choryasi,,Homo sapiens,,2020-06-13
MT772293,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Choryasi,,Homo sapiens,,2020-06-13
MT772294,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Surat,,Homo sapiens,,2020-06-13
MT772297,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Surat,,Homo sapiens,,2020-06-13
MT772403,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-25
MT772404,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Kane county",IL,Homo sapiens,oronasopharynx,2020-06-26
MT772405,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29779,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772407,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772408,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772409,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772410,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Massachusetts, Norfolk county",MA,Homo sapiens,oronasopharynx,2020-06-27
MT772411,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772412,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772416,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,2020-06-28
MT772417,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772418,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New York, Westchester county",NY,Homo sapiens,oronasopharynx,2020-06-28
MT772419,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-27
MT772421,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772422,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772423,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772425,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772426,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772427,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772428,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New York, Rockland county",NY,Homo sapiens,oronasopharynx,2020-06-26
MT772430,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772432,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Arizona, Maricopa county",AZ,Homo sapiens,oronasopharynx,2020-06-27
MT772433,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772434,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772435,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772436,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772437,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772438,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772440,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772441,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772443,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772444,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772445,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Waukesha county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772447,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,2020-06-26
MT772448,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Florida, Miami-dade county",FL,Homo sapiens,oronasopharynx,2020-06-28
MT772449,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Minnesota, Stearns county",MN,Homo sapiens,oronasopharynx,2020-06-26
MT772450,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Massachusetts, Norfolk county",MA,Homo sapiens,oronasopharynx,2020-06-26
MT772452,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772453,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772454,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772455,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772457,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-27
MT772458,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772459,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772460,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Sauk county",WI,Homo sapiens,oronasopharynx,2020-06-26
MT772461,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-25
MT772462,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-25
MT772463,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,2020-06-26
MT772464,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-27
MT772465,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772466,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-28
MT772467,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Lake county",IL,Homo sapiens,oronasopharynx,2020-06-28
MT772469,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-27
MT772471,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-29
MT772472,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-07-01
MT772473,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-07-02
MT772474,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-29
MT772475,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-06-29
MT772476,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-07-02
MT772477,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-07-02
MT772479,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Outagamie county",WI,Homo sapiens,oronasopharynx,2020-06-30
